Column,Description
totalarea,What is the total area (living + basement + garage)?
OverallQual,Overall material and finish rate of the house
TotalBsmtSF,Total square feet of basement area
Neighborhood,Physical locations within Ames city limits
YearRemod__Add,Last remodel date (= built year if never remodel)
BsmtFinSF1,Finished basement square feet
BsmtExposure,Refers to walkout or garden level walls
GarageArea,Garage in square feet
Fireplaces,Number of fireplaces
MasVnrArea,Masonry veneer area in square feet